STT,Câu Hỏi,Dịch Câu Hỏi,Trả Lời,Dịch Câu Trả lời
1,Which country has won the most Olympic swimming medals?,Nước nào có nhiều huy chương bơi lội Olympic nhất?,United States,Hoa Kỳ (1151 huy chương).
2,Name three countries with the most swimmers participating in the Olympics.,Kể tên 3 quốc gia có số lượng vận động viên bơi lội tham dự Olympic nhiều nhất?,"United States (1,617 athletes) 2. Australia (1,158 athletes) 3. Japan (842 athletes)",1. Hoa Kỳ (1.617 vận động viên) 2. Úc (1.158 vận động viên) 3. Nhật Bản (842 vận động viên)
3,Compare the Olympic swimming performances of the United States and Australia over the past 10 years.,So sánh thành tích bơi lội Olympic của Hoa Kỳ và Úc trong 10 năm qua?,"United States: Over the past 10 years (from 2012 to 2020),",Hoa Kỳ:Trong 10 năm qua (từ 2012 đến 2020)
4,Which country has won the most Olympic gold medals in individual swimming events?,Nước nào có số lượng huy chương vàng bơi lội Olympic ở nội dung cá nhân nhiều nhất?,The country with the most Olympic gold medals in individual swimming events is the United States with 122 medals.,Nước có số lượng huy chương vàng bơi lội Olympic ở nội dung cá nhân nhiều nhất là Hoa Kỳ với 122 huy chương.
5,Which country has the most Paralympic swimming medals?,Nước nào có nhiều huy chương bơi lội Paralympic nhất?,The country with the most Paralympic swimming medals is China with 374 medals. ,Nước có nhiều huy chương bơi lội Paralympic nhất là Trung Quốc với 374 huy chương.
6,Which country has the best overall performance in international swimming competitions (not just the Olympics) and also sends the most swimmers to the Olympics?,Nước nào có thành tích tốt nhất trong các giải bơi lội thế giới (không chỉ Olympic) và có số lượng vận động viên bơi lội tham dự Olympic nhiều nhất?,The country with the best performance in world swimming championships (not just Olympic) and the most swimmers participating in the Olympics is the United States.,Nước có thành tích tốt nhất trong các giải bơi lội thế giới (không chỉ Olympic) và có số lượng vận động viên bơi lội tham dự Olympic nhiều nhất là Hoa Kỳ.
7,Who is the youngest person to swim across the English Channel?,Ai là người trẻ nhất bơi qua eo biển Manche?,"Freya Limpert (14 years, 34 days).","Freya Limpert (14 tuổi, 34 ngày)."
8,Name five youngest individuals who have swum across the English Channel.,Kể tên 5 người trẻ nhất từng bơi qua eo biển Manche?,Brooke Bennett (14 years) 2. Tom Gregory (15 years) 3. Martha Wainwright (16 years) 4. Vera Rivard (16 years) 5. Eleanor Simmonds (17 years),1.Brooke Bennett (14 tuổi)2. Tom Gregory (15 tuổi)3.Martha Wainwright (16 tuổi) 4.Vera Rivard (16 tuổi)5. Eleanor Simmonds (17 tuổi)
9,Compare the English Channel swimming times of Brooke Bennett and Tom Gregory.,So sánh thời gian bơi qua eo biển Manche của Brooke Bennett và Tom Gregory?,Brooke Bennett: Swam across the English Channel in 14 hours and 34 minutes in 2018. Tom Gregory: Swam across the English Channel in 11 hours and 54 minutes in 2018.,Brooke Bennett: Bơi qua eo biển Manche trong 14 giờ 34 phút vào năm 2018. Tom Gregory:Bơi qua eo biển Manche trong 11 giờ 54 phút vào năm 2018.
10,Which country has the highest number of young individuals swimming across the English Channel?,Nước nào có nhiều người trẻ bơi qua eo biển Manche nhất?,The country with the most young people swimming across the English Channel is the United Kingdom.,Nước có nhiều người trẻ bơi qua eo biển Manche nhất là Vương quốc Anh.
11,Who is the youngest person to swim across the English Channel using assistive devices?,Ai là người trẻ nhất bơi qua eo biển Manche bằng cách sử dụng các dụng cụ hỗ trợ?,The youngest person to swim across the English Channel using support equipment is Jessica ,Người trẻ nhất bơi qua eo biển Manche bằng cách sử dụng các dụng cụ hỗ trợ là Jessica Hardy (11 tuổi). Cô sử dụng bộ đồ bơi neoprene để giữ ấm.
12,Who is the youngest person to swim across the English Channel and also the youngest participant in the Olympics?,Ai là người trẻ nhất bơi qua eo biển Manche và cũng là người trẻ nhất tham gia Thế vận hội?,The youngest person to swim across the English Channel and also the youngest participant in the Olympics is Martha Wainwright.,Người trẻ nhất bơi qua eo biển Manche và cũng là người trẻ nhất tham gia Thế vận hội là Martha Wainwright.
13,What is the most popular swimming stroke?,Kiểu bơi nào phổ biến nhất?,Freestyle swimming.,Bơi tự do.
14,Name four popular swimming strokes.,Kể tên 4 kiểu bơi phổ biến nhất?,Breaststroke 2. Backstroke 3. Butterfly,1. Bơi sải (bơi trườn sấp) 2. Bơi ếch 3. Bơi ngửa 4. Bơi bướm
15,Compare the popularity of breaststroke and butterfly stroke.,So sánh mức độ phổ biến của bơi sải và bơi ếch?,Breaststroke,Bơi sải là kiểu bơi nhanh nhất .Bơi ếch là kiểu bơi dễ học nhất
16,Which swimming stroke is most commonly used in swimming competitions?,Kiểu bơi nào được sử dụng nhiều nhất trong các cuộc thi đấu bơi lội?,Breaststroke is the fastest swimming style. Breaststroke is the easiest swimming style to learn,Kiểu bơi được sử dụng nhiều nhất trong các cuộc thi đấu bơi lội là bơi sải.
17,Which swimming stroke is most popular among children?,Kiểu bơi nào phổ biến nhất ở trẻ em?,The most commonly used swimming style in swimming competitions is breaststroke.,Bơi ếch là kiểu bơi dễ học nhất
18,Which swimming stroke is most popular among older adults and is also the least physically demanding?,Kiểu bơi nào phổ biến nhất ở người lớn tuổi và cũng là kiểu bơi ít tốn sức nhất?,The most popular swimming style among older adults and also the least physically demanding swimming style is breaststroke.,Kiểu bơi phổ biến nhất ở người lớn tuổi và cũng là kiểu bơi ít tốn sức nhất là bơi ếch.
19,What is the world record for the fastest 100m freestyle swim?,Kỷ lục thế giới 100m tự do nhanh nhất?,"46.91 seconds (Cesar Cielo, 2009).","46.91 giây (Cesar Cielo, 2009)."
20,Who was the first woman to break the world record in the 100m freestyle?,Ai là người phụ nữ đầu tiên phá vỡ kỷ lục thế giới 100m tự do?,The first woman to break the world record in the 100m freestyle was Fanny Durack (Australia) in 1912.,Người phụ nữ đầu tiên phá vỡ kỷ lục thế giới 100m tự do là Fanny Durack (Úc) vào năm 1912.
21,"The world records for the 100m freestyle swim are held by César Cielo and Sarah Sjöström for men and women, respectively.",So sánh kỷ lục thế giới 100m tự do của Usain Bolt và Florence Griffith-Joyner?,"The world record for the men's 100m is 9.58 seconds, set in 2009.","Kỷ lục thế giới 100m nam là 9,58 giây, được thiết lập vào năm 2009"
22,The 100m freestyle world record has been broken numerous times throughout history.,Kỷ lục thế giới 100m tự do đã được phá vỡ bao nhiêu lần?,The world record for the men's 100m freestyle has been broken 13 times since the IAAF started using electronic timing in 1977. The world record for the women's 100m freestyle has been broken 11 times.,ỷ lục thế giới 100m tự do nam đã được phá vỡ 13 lần kể từ khi IAAF bắt đầu sử dụng tính giờ điện tử vào năm 1977. Kỷ lục thế giới 100m tự do nữ đã được phá vỡ 11 lần.
23,The 100m freestyle world record could potentially be broken by swimmers using high-tech swimsuits.,Kỷ lục thế giới 100m tự do có thể bị phá vỡ bởi người bơi lội sử dụng bộ đồ bơi công nghệ cao?,"The use of high-tech swimsuits has been banned in swimming competitions since 2010. Therefore, the world record for the men's 100m freestyle cannot be broken by swimmers using high-tech swimsuits.","Việc sử dụng bộ đồ bơi công nghệ cao đã bị cấm trong các cuộc thi đấu bơi lội từ năm 2010. Do đó, kỷ lục thế giới 100m tự do không thể bị phá vỡ bởi người bơi lội sử dụng bộ đồ bơi công nghệ cao."
24,"The 100m freestyle world records of Usain Bolt and Florence Griffith-Joyner are not directly comparable as they are in different sports. Usain Bolt holds the world record for the 100m sprint in track and field, while Florence Griffith-Joyner holds the world record for the 100m sprint in athletics.",So sánh kỷ lục thế giới 100m tự do của Usain Bolt và Florence Griffith-Joyner?,"The world record for the women's 100m is 10.49 seconds, set in 1988.","Kỷ lục thế giới 100m nữ là 10,49 giây, được thiết lập vào năm 1988."
25,The most difficult swimming stroke to learn is often considered to be the butterfly stroke., Kiểu bơi nào khó học nhất?,Butterfly stroke.,Bơi bướm.
26,"Three popular but challenging swimming strokes are the butterfly stroke, the breaststroke, and the individual medley.",Kể tên 3 kiểu bơi phổ biến nhưng khó học?,Breaststroke (for beginners).,Bơi sải (đối với người mới bắt đầu)
27,"Comparing the difficulty of the butterfly stroke and the breaststroke, the butterfly stroke is generally considered to be more technically demanding and physically challenging.",So sánh mức độ khó của bơi bướm và bơi ếch?,"Butterfly stroke requires more strength and coordination than breaststroke, which requires more complex breathing technique and leg movement.",Bơi bướm đòi hỏi nhiều sức mạnh và sự phối hợp hơn Bơi ếch đòi hỏi kỹ thuật thở và di chuyển chân phức tạp hơn
28,The least commonly learned swimming stroke is often considered to be the butterfly stroke due to its technical complexity and physical demands.,Kiểu bơi nào ít người học nhất?,Butterfly stroke is the most difficult swimming style.,Bơi bướm là kiểu bơi khó nhất 
29,The easiest swimming stroke for older adults to learn is typically the breaststroke due to its gentle and rhythmic movements.,Kiểu bơi nào dễ học nhất cho người lớn tuổi?,Breaststroke helps older people feel safer in the water.,Bơi ếch giúp người lớn tuổi cảm thấy an toàn hơn trong nước
30,The most effective swimming stroke for weight loss and also the easiest to learn is often considered to be the freestyle stroke.,Kiểu bơi nào hiệu quả nhất để giảm cân và cũng là kiểu bơi dễ học nhất?,The most effective swimming style for weight loss and also the easiest to learn is freestyle.,Kiểu bơi hiệu quả nhất để giảm cân và cũng là kiểu bơi dễ học nhất là bơi sải.
31,"Swimming for 30 minutes burns approximately 300-350 calories, depending on factors such as intensity and body weight.",Bơi 30 phút đốt cháy bao nhiêu calo?,"200-300 calories (depending on weight, intensity, and swimming style).","200-300 calo (tùy theo cân nặng, cường độ và kiểu bơi)."
